year,name,pick,college,seasons,g,ws_48,bpm,vorp
2014,Markel Brown,44,Oklahoma State,3,113,.029,-2.9,-0.4
2014,Dwight Powell,45,Stanford,9,586,.185,0.9,8.3
2014,Jordan Clarkson,46,Missouri,9,661,.062,-0.6,6.5
2014,Russ Smith,47,Louisville,2,27,-.068,-5.1,-0.1
2014,Lamar Patterson,48,Pitt,2,40,.006,-5.7,-0.4
2014,Cameron Bairstow,49,New Mexico,2,36,-.021,-8.1,-0.3
2014,Alec Brown,50,Green Bay,,,,,
2014,Thanasis Antetokounmpo,51,,5,162,.064,-4.0,-0.7
2014,Vasilije Micić,52,,,,,,
2014,Alessandro Gentile,53,,,,,,
2014,Nemanja Dangubić,54,,,,,,
2014,Semaj Christon,55,Xavier,1,64,.006,-5.1,-0.8
2014,Devyn Marble,56,Iowa,2,44,-.028,-5.5,-0.4
2014,Louis Labeyrie,57,,,,,,
2014,Jordan McRae,58,Tennessee,4,123,.048,-2.1,0.0
2014,Xavier Thames,59,San Diego State,,,,,
2014,Cory Jefferson,60,Baylor,2,58,.071,-3.3,-0.2
2015,Karl-Anthony Towns,1,Kentucky,8,509,.189,4.7,29.4
2015,D'Angelo Russell,2,Ohio State,8,493,.063,0.7,9.9
2015,Jahlil Okafor,3,Duke,6,247,.071,-2.0,0.0
2015,Kristaps Porziņģis,4,,7,402,.133,2.1,13.0
2015,Mario Hezonja,5,,5,330,.025,-2.8,-1.2
2015,Willie Cauley-Stein,6,Kentucky,7,422,.121,-0.1,4.4
2015,Emmanuel Mudiay,7,,6,302,-.001,-3.2,-2.2
2015,Stanley Johnson,8,Arizona,8,449,.037,-2.7,-1.6
2015,Frank Kaminsky,9,Wisconsin,8,412,.094,-0.2,3.6
2015,Justise Winslow,10,Duke,8,344,.044,-2.1,-0.3
2015,Myles Turner,11,Texas,8,493,.129,0.8,10.1
2015,Trey Lyles,12,Kentucky,8,521,.087,-1.0,2.3
2015,Devin Booker,13,Kentucky,8,529,.096,0.9,13.2
2015,Cameron Payne,14,Murray State,8,325,.075,-0.5,2.2
2015,Kelly Oubre Jr.,15,Kansas,8,527,.068,-1.7,0.8
2015,Terry Rozier,16,Louisville,8,540,.084,0.4,8.9
2015,Rashad Vaughn,17,UNLV,3,139,-.017,-4.7,-1.2
2015,Sam Dekker,18,Wisconsin,5,201,.083,-1.4,0.5
2015,Jerian Grant,19,Notre Dame,5,279,.080,-1.6,0.5
2015,Delon Wright,20,Utah,8,460,.130,2.3,10.5
2015,Justin Anderson,21,Virginia,6,242,.072,-1.5,0.4
2015,Bobby Portis,22,Arkansas,8,522,.109,-0.4,4.7
2015,Rondae Hollis-Jefferson,23,Arizona,6,305,.091,-0.7,2.3
2015,Tyus Jones,24,Duke,8,534,.116,0.6,6.8
2015,Jarell Martin,25,LSU,4,184,.053,-4.3,-1.7
2015,Nikola Milutinov,26,,,,,,
2015,Larry Nance Jr.,27,Wyoming,8,459,.129,1.1,8.6
2015,R.J. Hunter,28,Georgia State University,4,45,.051,-2.0,0.0
2015,Chris McCullough,29,Syracuse,3,59,.054,-2.5,-0.1
2015,Kevon Looney,30,UCLA,8,447,.174,0.3,4.6
2015,Cedi Osman,31,,6,402,.053,-2.1,-0.4
2015,Montrezl Harrell,32,Louisville,8,512,.195,2.6,12.2
2015,Jordan Mickey,33,LSU,3,64,.050,-4.8,-0.3
2015,Anthony Brown,34,Stanford,3,41,-.016,-5.1,-0.6
2015,Willy Hernangómez,35,,7,344,.152,0.1,2.8
2015,Rakeem Christmas,36,Syracuse,2,30,.105,-4.7,-0.2
2015,Richaun Holmes,37,Bowling Green,8,416,.160,0.3,4.8
2015,Darrun Hilliard,38,Villanova,3,91,.016,-4.7,-0.6
2015,Juan Pablo Vaulet,39,,,,,,
2015,Josh Richardson,40,Tennessee,8,501,.085,-0.5,5.5
2015,Pat Connaughton,41,Notre Dame,8,478,.108,-0.2,4.2
2015,Olivier Hanlan,42,Boston College,,,,,
2015,Joe Young,43,Oregon,3,127,.016,-4.1,-0.6
2015,Andrew Harrison,44,Kentucky,3,145,.051,-2.8,-0.6
2015,Marcus Thornton,45,William & Mary,,,,,
2015,Norman Powell,46,UCLA,8,479,.100,-0.1,5.2
2015,Artūras Gudaitis,47,,,,,,
2015,Dakari Johnson,48,Kentucky,1,31,.178,-0.3,0.1
2015,Aaron White,49,Iowa,,,,,
2015,Marcus Eriksson,50,,,,,,
2015,Tyler Harvey,51,Eastern Washington,,,,,
2015,Satnam Singh,52,,,,,,
2015,Sir'Dominic Pointer,53,St. John's,,,,,
2015,Dani Díez,54,,,,,,
2015,Cady Lalanne,55,UMass,,,,,
2015,Branden Dawson,56,Michigan State,1,6,.069,-5.7,0.0
2015,Nikola Radičević,57,,,,,,
2015,J.P. Tokoto,58,UNC,,,,,
2015,Dimitrios Agravanis,59,,,,,,
2015,Luka Mitrović,60,,,,,,
2016,Ben Simmons,1,LSU,5,317,.150,3.4,14.1
2016,Brandon Ingram,2,Duke,7,411,.078,-0.1,6.5
2016,Jaylen Brown,3,California,7,470,.101,0.3,8.1
2016,Dragan Bender,4,,4,187,.006,-3.9,-1.9
2016,Kris Dunn,5,Providence,7,264,.039,-1.9,0.2
2016,Buddy Hield,6,Oklahoma,7,546,.063,0.4,9.5
2016,Jamal Murray,7,Kentucky,6,409,.099,0.4,7.7
2016,Marquese Chriss,8,Washington,6,292,.058,-2.4,-0.5
2016,Jakob Poeltl,9,Utah,7,486,.162,1.2,8.3
2016,Thon Maker,10,,5,263,.087,-2.1,-0.1
2016,Domantas Sabonis,11,Gonzaga,7,493,.156,2.5,16.5
2016,Taurean Prince,12,Baylor,7,422,.045,-1.9,0.1
2016,Georgios Papagiannis,13,,2,39,.044,-3.9,-0.2
2016,Denzel Valentine,14,Michigan State,5,256,.044,-1.9,0.2
2016,Juancho Hernangómez,15,,7,339,.080,-1.9,0.1
2016,Guerschon Yabusele,16,,2,74,.105,-1.9,0.0
2016,Wade Baldwin,17,Vanderbilt,3,56,-.028,-5.3,-0.5
2016,Henry Ellenson,18,Marquette,5,83,.023,-3.7,-0.3
2016,Malik Beasley,19,Florida State,7,415,.061,-1.2,1.9
2016,Caris LeVert,20,Michigan,7,392,.071,-0.5,4.3
2016,DeAndre' Bembry,21,Saint Joseph's,6,296,.038,-2.3,-0.4
2016,Malachi Richardson,22,Syracuse,3,70,-.009,-6.1,-0.7
2016,Ante Žižić,23,,3,113,.110,-2.6,-0.2
2016,Timothé Luwawu-Cabarrot,24,,6,328,.043,-4.0,-2.7
2016,Brice Johnson,25,UNC,2,21,.062,-0.6,0.0
2016,Furkan Korkmaz,26,,6,290,.068,-1.9,0.2
2016,Pascal Siakam,27,New Mexico State,7,470,.137,2.0,14.5
2016,Skal Labissière,28,Kentucky,4,148,.081,-2.3,-0.2
2016,Dejounte Murray,29,Washington,6,393,.093,1.6,9.9
2016,Damian Jones,30,Vanderbilt,7,237,.143,-1.0,0.9
2016,Deyonta Davis,31,Michigan State,3,107,.131,-2.1,0.0
2016,Ivica Zubac,32,,7,434,.174,0.2,5.1
2016,Cheick Diallo,33,Kansas,5,183,.139,-1.4,0.3
2016,Tyler Ulis,34,Kentucky,3,133,.008,-3.6,-1.1
2016,Rade Zagorac,35,,,,,,
